-0.0008	-0.0025	0.0001 
-0.0003	-0.0028	0.0001 
-0.0007	-0.0028	0.0001 
-0.0000	-0.0029	0.0001 
0.0003	-0.0029	0.0001 
0.0041	-0.0006	0.0001 
0.0043	-0.0002	0.0001 
0.0002	-0.0030	0.0001 
-0.0010	-0.0030	0.0001 
-0.0022	-0.0028	0.0001 
0.0047	-0.0002	0.0001 
-0.0010	-0.0033	0.0001 
-0.0024	-0.0029	0.0001 
-0.0013	-0.0033	0.0001 
0.0048	-0.0004	0.0001 
0.0050	-0.0004	0.0001 
0.0050	0.0003	0.0001 
0.0047	-0.0014	0.0001 
0.0043	0.0020	0.0001 
-0.0010	-0.0035	0.0001 
0.0011	-0.0036	0.0001 
0.0053	-0.0007	0.0001 


0.0000	0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0002	0.0000 
-0.0003	0.0002	0.0000 
0.0009	-0.0002	0.0000 
0.0004	-0.0007	0.0000 
0.0011	-0.0003	0.0000 
0.0007	0.0007	0.0000 
-0.0012	-0.0004	0.0000 
-0.0005	0.0009	0.0000 
-0.0010	0.0007	0.0000 
-0.0001	0.0010	0.0000 
0.0013	-0.0005	0.0000 
0.0016	0.0002	0.0000 
-0.0016	0.0002	0.0000 
0.0009	0.0010	0.0000 
0.0012	-0.0008	0.0000 
0.0000	0.0012	0.0000 
-0.0001	0.0013	0.0000 
0.0015	0.0008	0.0000 
-0.0009	0.0012	0.0000 
0.0015	-0.0009	0.0000 
0.0003	0.0014	0.0000 
0.0020	0.0003	0.0000 
0.0020	-0.0002	0.0000 
0.0006	0.0014	0.0000 
-0.0012	-0.0013	0.0000 
0.0011	-0.0013	0.0000 
0.0011	-0.0015	0.0000 
0.0013	-0.0015	0.0000 
-0.0007	-0.0017	0.0000 
0.0016	-0.0013	0.0000 
-0.0023	-0.0007	0.0000 
-0.0013	-0.0016	0.0000 
0.0001	-0.0019	0.0000 
-0.0020	0.0012	0.0000 
0.0027	0.0007	0.0000 
0.0027	0.0011	0.0000 
0.0026	0.0012	0.0000 
0.0028	0.0011	0.0001 
0.0027	0.0013	0.0001 
0.0029	0.0011	0.0001 
-0.0001	-0.0024	0.0001 
-0.0009	-0.0025	0.0001 
-0.0008	-0.0025	0.0001 
-0.0003	-0.0028	0.0001 
-0.0007	-0.0028	0.0001 
-0.0000	-0.0029	0.0001 
0.0003	-0.0029	0.0001 
0.0041	-0.0006	0.0001 


0.0000	0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0002	0.0000 
0.0001	-0.0002	0.0000 
-0.0003	0.0002	0.0000 
0.0004	-0.0003	0.0000 
0.0009	-0.0002	0.0000 
0.0010	0.0003	0.0000 
0.0004	-0.0007	0.0000 
0.0011	-0.0003	0.0000 
0.0007	0.0007	0.0000 
-0.0012	-0.0004	0.0000 
0.0003	0.0009	0.0000 
-0.0005	0.0009	0.0000 
0.0010	0.0006	0.0000 
-0.0010	0.0007	0.0000 
0.0014	0.0002	0.0000 
-0.0001	0.0010	0.0000 
0.0013	-0.0005	0.0000 
0.0016	0.0002	0.0000 
0.0011	0.0008	0.0000 
-0.0016	0.0002	0.0000 
0.0009	0.0010	0.0000 
0.0012	-0.0008	0.0000 
0.0000	0.0012	0.0000 
-0.0001	0.0013	0.0000 
0.0018	0.0000	0.0000 
0.0013	-0.0009	0.0000 
-0.0012	0.0010	0.0000 
0.0015	0.0008	0.0000 
-0.0009	0.0012	0.0000 
0.0015	-0.0009	0.0000 
0.0003	0.0014	0.0000 
0.0015	0.0009	0.0000 
0.0020	0.0003	0.0000 
0.0020	-0.0002	0.0000 
0.0006	0.0014	0.0000 
-0.0012	-0.0013	0.0000 
0.0011	-0.0013	0.0000 
0.0011	-0.0015	0.0000 
0.0013	-0.0015	0.0000 
-0.0007	-0.0017	0.0000 
0.0016	-0.0013	0.0000 
-0.0023	-0.0007	0.0000 
-0.0013	-0.0016	0.0000 
0.0001	-0.0019	0.0000 
-0.0020	0.0012	0.0000 
0.0013	-0.0017	0.0000 
0.0026	-0.0008	0.0000 
0.0027	0.0007	0.0000 


0.0000	0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0002	0.0000 
-0.0001	0.0002	0.0000 
0.0001	-0.0002	0.0000 
0.0003	-0.0002	0.0000 
-0.0001	0.0003	0.0000 
-0.0003	0.0002	0.0000 
-0.0005	0.0000	0.0000 
0.0004	-0.0003	0.0000 
-0.0008	0.0002	0.0000 
0.0009	-0.0002	0.0000 
0.0010	0.0003	0.0000 
0.0004	-0.0007	0.0000 
0.0011	-0.0002	0.0000 
0.0011	-0.0003	0.0000 
0.0007	0.0007	0.0000 
-0.0012	-0.0004	0.0000 
0.0010	-0.0006	0.0000 
0.0003	0.0009	0.0000 
-0.0005	0.0009	0.0000 
-0.0001	-0.0010	0.0000 
0.0010	0.0006	0.0000 
-0.0010	0.0007	0.0000 
0.0014	0.0002	0.0000 
-0.0001	0.0010	0.0000 
0.0013	-0.0005	0.0000 
0.0010	0.0008	0.0000 
0.0011	0.0008	0.0000 
0.0016	0.0002	0.0000 
0.0011	0.0008	0.0000 
-0.0014	0.0006	0.0000 
-0.0016	0.0002	0.0000 
0.0016	-0.0004	0.0000 
0.0009	0.0010	0.0000 
0.0012	-0.0008	0.0000 
0.0015	0.0006	0.0000 
0.0000	0.0012	0.0000 
-0.0005	0.0012	0.0000 
-0.0001	0.0013	0.0000 
0.0018	0.0000	0.0000 
0.0013	-0.0009	0.0000 
-0.0012	0.0010	0.0000 
0.0015	0.0008	0.0000 
-0.0009	0.0012	0.0000 
0.0015	-0.0009	0.0000 
0.0003	0.0014	0.0000 
0.0015	0.0009	0.0000 
0.0020	0.0003	0.0000 
0.0020	-0.0002	0.0000 


0.0000	0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	-0.0001	0.0000 
-0.0001	-0.0001	0.0000 
-0.0001	0.0002	0.0000 
-0.0001	0.0002	0.0000 
-0.0003	-0.0000	0.0000 
0.0001	-0.0002	0.0000 
0.0003	-0.0002	0.0000 
-0.0001	0.0003	0.0000 
-0.0004	-0.0000	0.0000 
-0.0003	0.0002	0.0000 
-0.0004	0.0000	0.0000 
-0.0005	0.0000	0.0000 
-0.0001	0.0003	0.0000 
0.0004	-0.0003	0.0000 
-0.0002	0.0004	0.0000 
0.0000	0.0005	0.0000 
-0.0008	0.0002	0.0000 
-0.0007	-0.0004	0.0000 
0.0005	0.0005	0.0000 
0.0009	-0.0002	0.0000 
0.0010	0.0001	0.0000 
0.0010	0.0003	0.0000 
0.0004	-0.0007	0.0000 
0.0011	-0.0002	0.0000 
0.0011	-0.0003	0.0000 
0.0011	-0.0003	0.0000 
0.0007	0.0007	0.0000 
0.0009	0.0005	0.0000 
-0.0012	-0.0004	0.0000 
0.0010	-0.0006	0.0000 
0.0003	0.0009	0.0000 
-0.0005	0.0009	0.0000 
-0.0001	-0.0010	0.0000 
0.0010	0.0006	0.0000 
-0.0010	0.0007	0.0000 
0.0014	0.0002	0.0000 
-0.0001	0.0010	0.0000 
0.0013	-0.0005	0.0000 
0.0010	0.0008	0.0000 
-0.0014	-0.0004	0.0000 
0.0011	0.0008	0.0000 
0.0015	-0.0004	0.0000 
0.0016	0.0002	0.0000 
0.0011	0.0008	0.0000 
-0.0014	0.0006	0.0000 
-0.0016	0.0002	0.0000 
0.0016	-0.0004	0.0000 
0.0009	0.0010	0.0000 


0.0000	0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0000	0.0000 
-0.0001	-0.0001	0.0000 
-0.0001	-0.0001	0.0000 
-0.0002	-0.0001	0.0000 
-0.0001	0.0002	0.0000 
-0.0001	0.0002	0.0000 
-0.0000	0.0002	0.0000 
-0.0003	-0.0000	0.0000 
0.0001	-0.0002	0.0000 
0.0003	-0.0002	0.0000 
0.0003	-0.0001	0.0000 
-0.0001	0.0003	0.0000 
-0.0004	-0.0000	0.0000 
-0.0004	0.0000	0.0000 
-0.0003	0.0002	0.0000 
-0.0004	0.0000	0.0000 
-0.0005	0.0000	0.0000 
0.0002	0.0003	0.0000 
-0.0004	-0.0002	0.0000 
-0.0001	0.0003	0.0000 
0.0004	-0.0003	0.0000 
-0.0002	0.0004	0.0000 
0.0000	0.0005	0.0000 
-0.0005	-0.0004	0.0000 
-0.0008	0.0002	0.0000 
0.0004	0.0005	0.0000 
-0.0007	-0.0004	0.0000 
0.0005	0.0005	0.0000 
0.0009	-0.0002	0.0000 
0.0010	0.0001	0.0000 
0.0010	0.0003	0.0000 
0.0004	-0.0007	0.0000 
0.0011	-0.0002	0.0000 
0.0011	-0.0003	0.0000 
0.0011	-0.0003	0.0000 
0.0007	0.0007	0.0000 
0.0009	0.0005	0.0000 
-0.0012	-0.0004	0.0000 
0.0010	-0.0006	0.0000 
0.0003	0.0009	0.0000 
-0.0005	0.0009	0.0000 
0.0001	-0.0010	0.0000 
-0.0001	-0.0010	0.0000 
0.0010	0.0006	0.0000 
-0.0010	0.0007	0.0000 
0.0014	0.0002	0.0000 
-0.0001	0.0010	0.0000 
0.0013	-0.0005	0.0000 


-0.0000	-0.0000	0.0000 
0.0000	0.0000	0.0000 
0.0000	0.0001	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0000	0.0000 
-0.0001	-0.0001	0.0000 
-0.0001	-0.0001	0.0000 
-0.0002	-0.0001	0.0000 
-0.0001	0.0002	0.0000 
-0.0001	0.0002	0.0000 
-0.0000	0.0002	0.0000 
-0.0003	-0.0000	0.0000 
-0.0001	0.0002	0.0000 
0.0001	-0.0002	0.0000 
0.0003	-0.0002	0.0000 
0.0003	-0.0001	0.0000 
-0.0001	0.0003	0.0000 
-0.0004	-0.0000	0.0000 
-0.0004	0.0000	0.0000 
-0.0001	0.0003	0.0000 
-0.0001	0.0003	0.0000 
-0.0003	0.0002	0.0000 
-0.0004	0.0000	0.0000 
-0.0001	0.0003	0.0000 
-0.0005	0.0000	0.0000 
0.0002	0.0003	0.0000 
-0.0004	-0.0002	0.0000 
-0.0001	0.0003	0.0000 
-0.0004	0.0002	0.0000 
0.0004	-0.0003	0.0000 
-0.0006	0.0000	0.0000 
-0.0000	0.0004	0.0000 
-0.0002	0.0004	0.0000 
0.0000	0.0005	0.0000 
-0.0005	-0.0004	0.0000 
-0.0006	0.0003	0.0000 
0.0007	-0.0002	0.0000 
-0.0008	0.0002	0.0000 
0.0004	0.0005	0.0000 
-0.0007	-0.0004	0.0000 
0.0005	0.0005	0.0000 
0.0009	-0.0002	0.0000 
0.0010	0.0001	0.0000 
0.0010	0.0003	0.0000 
0.0004	-0.0007	0.0000 
0.0011	-0.0002	0.0000 
0.0011	-0.0003	0.0000 
0.0011	-0.0003	0.0000 
0.0007	0.0007	0.0000 
0.0009	0.0005	0.0000 


-0.0000	-0.0000	0.0000 
0.0000	0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0000	0.0000 
-0.0001	-0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0000	0.0000 
-0.0001	-0.0001	0.0000 
-0.0002	-0.0000	0.0000 
-0.0001	0.0001	0.0000 
-0.0002	-0.0001	0.0000 
-0.0001	-0.0001	0.0000 
-0.0001	0.0001	0.0000 
-0.0002	-0.0001	0.0000 
-0.0001	0.0002	0.0000 
-0.0001	0.0002	0.0000 
-0.0000	0.0002	0.0000 
-0.0003	-0.0000	0.0000 
-0.0001	0.0002	0.0000 
0.0003	-0.0001	0.0000 
-0.0001	0.0002	0.0000 
0.0001	-0.0002	0.0000 
0.0003	-0.0002	0.0000 
0.0003	-0.0001	0.0000 
-0.0001	0.0003	0.0000 
-0.0004	-0.0000	0.0000 
-0.0001	0.0003	0.0000 
0.0003	-0.0002	0.0000 
-0.0004	0.0000	0.0000 
-0.0001	0.0003	0.0000 
-0.0001	0.0003	0.0000 
-0.0003	0.0002	0.0000 
-0.0004	0.0000	0.0000 
-0.0001	0.0003	0.0000 
-0.0005	0.0000	0.0000 
0.0002	0.0003	0.0000 
-0.0004	-0.0002	0.0000 
-0.0001	0.0003	0.0000 
-0.0004	0.0002	0.0000 
0.0004	-0.0003	0.0000 
-0.0006	0.0000	0.0000 
-0.0000	0.0004	0.0000 
-0.0002	0.0004	0.0000 
0.0003	-0.0004	0.0000 
0.0000	0.0005	0.0000 
-0.0005	-0.0004	0.0000 
-0.0006	0.0003	0.0000 
0.0007	-0.0002	0.0000 
-0.0008	0.0002	0.0000 
0.0004	0.0005	0.0000 


-0.0000	-0.0000	0.0000 
-0.0000	-0.0000	0.0000 
0.0000	-0.0000	0.0000 
0.0000	0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0000	0.0000 
-0.0001	-0.0000	0.0000 
-0.0001	-0.0000	0.0000 
-0.0001	0.0001	0.0000 
-0.0001	-0.0000	0.0000 
0.0000	0.0001	0.0000 
-0.0001	0.0000	0.0000 
-0.0001	-0.0001	0.0000 
0.0000	0.0001	0.0000 
-0.0002	-0.0000	0.0000 
-0.0001	0.0001	0.0000 
-0.0002	-0.0001	0.0000 
-0.0001	-0.0001	0.0000 
-0.0001	0.0001	0.0000 
-0.0001	0.0001	0.0000 
-0.0001	0.0001	0.0000 
-0.0000	0.0001	0.0000 
-0.0002	-0.0001	0.0000 
-0.0001	0.0001	0.0000 
-0.0001	0.0002	0.0000 
-0.0001	0.0002	0.0000 
-0.0000	0.0002	0.0000 
-0.0003	-0.0000	0.0000 
-0.0001	0.0002	0.0000 
0.0003	-0.0001	0.0000 
-0.0001	0.0002	0.0000 
0.0001	-0.0002	0.0000 
-0.0001	0.0002	0.0000 
0.0003	-0.0002	0.0000 
0.0003	-0.0001	0.0000 
-0.0001	0.0003	0.0000 
-0.0004	-0.0000	0.0000 
-0.0001	0.0003	0.0000 
0.0003	-0.0002	0.0000 
-0.0004	0.0000	0.0000 
-0.0001	0.0003	0.0000 
-0.0001	0.0003	0.0000 
0.0004	0.0001	0.0000 
-0.0003	0.0002	0.0000 
-0.0004	0.0000	0.0000 
-0.0001	0.0003	0.0000 
-0.0005	0.0000	0.0000 
0.0002	0.0003	0.0000 
-0.0004	-0.0002	0.0000 
-0.0001	0.0003	0.0000 


